,1,2,3,4,5,avg
shot_noise,0.9249,0.9051,0.8295,0.7844,0.7,0.8287800000000001
motion_blur,0.9395,0.9239,0.8996,0.8971,0.8711,0.90624
snow,0.9249,0.8829,0.8785,0.8549,0.8412,0.8764799999999999
pixelate,0.9405,0.9269,0.9117,0.8437,0.7066,0.86588
gaussian_noise,0.9064,0.8417,0.7522,0.6976,0.6424,0.76806
defocus_blur,0.9504,0.9482,0.9444,0.9317,0.8973,0.9344000000000001
brightness,0.9487,0.9462,0.9424,0.936,0.9236,0.9393799999999999
fog,0.9474,0.9412,0.9306,0.9128,0.8191,0.91022
zoom_blur,0.9332,0.9328,0.9215,0.9077,0.8794,0.9149200000000001
frost,0.9317,0.9069,0.8628,0.8658,0.8152,0.8764800000000001
glass_blur,0.7681,0.7686,0.787,0.6464,0.6777,0.72956
impulse_noise,0.9317,0.9077,0.8746,0.7645,0.5991,0.81552
contrast,0.9473,0.934,0.922,0.8935,0.6832,0.876
jpeg_compression,0.9051,0.8699,0.863,0.8461,0.8151,0.8598399999999999
elastic_transform,0.9262,0.928,0.9202,0.8625,0.8012,0.8876199999999999
average,0.9217333333333333,0.9042666666666667,0.8826666666666667,0.8429800000000001,0.7781466666666665,0.8659586666666665
