,1,2,3,4,5,avg
shot_noise,0.9201,0.8995,0.832,0.801,0.7466,0.83984
motion_blur,0.9178,0.8814,0.8337,0.8312,0.7745,0.84772
snow,0.9218,0.8848,0.875,0.8462,0.8358,0.8727199999999999
pixelate,0.9248,0.8905,0.8542,0.7433,0.5712,0.7968
gaussian_noise,0.9025,0.8538,0.793,0.7597,0.7287,0.80754
defocus_blur,0.9424,0.9435,0.9413,0.9198,0.9002,0.9294399999999999
brightness,0.9436,0.9418,0.9381,0.9316,0.9185,0.9347200000000001
fog,0.9414,0.9365,0.9265,0.9083,0.8101,0.90456
zoom_blur,0.9214,0.9255,0.916,0.9064,0.8729,0.90844
frost,0.9257,0.903,0.8775,0.8757,0.8462,0.88562
glass_blur,0.7503,0.7507,0.754,0.646,0.6392,0.7080399999999999
impulse_noise,0.8996,0.8458,0.7831,0.6694,0.5522,0.75002
contrast,0.9428,0.9346,0.9265,0.9076,0.8504,0.91238
jpeg_compression,0.8871,0.8436,0.825,0.8084,0.7678,0.82638
elastic_transform,0.9139,0.9158,0.9143,0.8536,0.7793,0.87538
average,0.9103466666666665,0.8900533333333333,0.8660133333333333,0.8272133333333334,0.7729066666666667,0.8533066666666667
