,1,2,3,4,5,avg
shot_noise,0.9268,0.9104,0.839,0.792,0.7035,0.8343399999999999
motion_blur,0.8909,0.8367,0.7562,0.7584,0.677,0.78384
snow,0.9062,0.8601,0.8483,0.8179,0.8149,0.84948
pixelate,0.9267,0.9119,0.9029,0.8694,0.79,0.88018
gaussian_noise,0.9175,0.8752,0.7865,0.7359,0.6848,0.79998
defocus_blur,0.9282,0.9081,0.8723,0.8187,0.67,0.8394600000000001
brightness,0.9346,0.9309,0.9251,0.9168,0.8946,0.9203999999999999
fog,0.9177,0.8723,0.8069,0.7032,0.4546,0.7509399999999999
zoom_blur,0.8694,0.8572,0.828,0.796,0.7423,0.8185800000000001
frost,0.9163,0.8916,0.8439,0.8404,0.7746,0.85336
glass_blur,0.7441,0.7524,0.7836,0.5937,0.6385,0.7024600000000001
impulse_noise,0.8958,0.8401,0.7802,0.6216,0.4543,0.7183999999999999
contrast,0.9108,0.7903,0.656,0.4281,0.1879,0.59462
jpeg_compression,0.9137,0.8963,0.8905,0.8807,0.8696,0.8901600000000001
elastic_transform,0.8822,0.8833,0.8571,0.8198,0.7903,0.8465399999999998
average,0.8987266666666666,0.8677866666666667,0.8251000000000001,0.7595066666666668,0.6764600000000002,0.8055160000000001
