,1,2,3,4,5,avg
shot_noise,0.9271,0.9254,0.903,0.8838,0.8201,0.8918800000000001
motion_blur,0.8503,0.7772,0.686,0.6869,0.6016,0.7203999999999999
snow,0.9088,0.8865,0.8588,0.8222,0.8241,0.86008
pixelate,0.919,0.9088,0.9011,0.8653,0.7733,0.8735000000000002
gaussian_noise,0.929,0.919,0.8834,0.8527,0.8075,0.8783199999999999
defocus_blur,0.9139,0.8747,0.8228,0.7521,0.5774,0.78818
brightness,0.9254,0.9222,0.9158,0.9062,0.8802,0.9099600000000001
fog,0.9056,0.8499,0.7682,0.6527,0.3975,0.71478
zoom_blur,0.8198,0.8055,0.7686,0.7328,0.6734,0.76002
frost,0.9108,0.8892,0.865,0.8682,0.8277,0.87218
glass_blur,0.8008,0.8048,0.8168,0.6679,0.7079,0.7596399999999999
impulse_noise,0.912,0.8802,0.8338,0.703,0.5113,0.76806
contrast,0.8971,0.7623,0.63,0.4204,0.2106,0.5840799999999999
jpeg_compression,0.9102,0.8941,0.885,0.8773,0.8629,0.8859
elastic_transform,0.8484,0.8495,0.8075,0.7668,0.7364,0.8017200000000001
average,0.8918800000000001,0.8632866666666669,0.8230533333333334,0.7638866666666666,0.6807933333333334,0.80458
