,1,2,3,4,5,avg
shot_noise,0.9082,0.8655,0.736,0.6774,0.5695,0.75132
motion_blur,0.8914,0.8278,0.7637,0.7624,0.702,0.7894599999999999
snow,0.8886,0.8276,0.8287,0.8068,0.7867,0.82768
pixelate,0.9149,0.8888,0.86,0.7566,0.57,0.79806
gaussian_noise,0.8844,0.7835,0.6415,0.5703,0.501,0.67614
defocus_blur,0.9313,0.9163,0.8759,0.808,0.6647,0.83924
brightness,0.9331,0.9293,0.9249,0.9177,0.8918,0.91936
fog,0.9285,0.9063,0.8742,0.8195,0.63,0.8317
zoom_blur,0.8748,0.8559,0.8242,0.7903,0.726,0.8142400000000001
frost,0.9115,0.8776,0.817,0.8113,0.7332,0.83012
glass_blur,0.6674,0.6828,0.7078,0.5465,0.5734,0.6355799999999999
impulse_noise,0.867,0.7907,0.7234,0.5503,0.3749,0.6612600000000001
contrast,0.9246,0.869,0.7902,0.6104,0.2109,0.6810200000000001
jpeg_compression,0.8979,0.8636,0.8529,0.8369,0.8137,0.853
elastic_transform,0.8894,0.8867,0.8599,0.8071,0.7779,0.8442000000000001
average,0.8875333333333335,0.8514266666666666,0.8053533333333333,0.7381,0.6350466666666666,0.7834920000000001
