,1,2,3,4,5,avg
shot_noise,0.9309,0.9209,0.8702,0.8361,0.7641,0.8644400000000001
motion_blur,0.9025,0.8603,0.8037,0.8086,0.7392,0.82286
snow,0.9185,0.8826,0.8627,0.8325,0.8333,0.86592
pixelate,0.9291,0.9229,0.9159,0.8931,0.8362,0.89944
gaussian_noise,0.9256,0.8934,0.8304,0.7842,0.7366,0.8340400000000001
defocus_blur,0.931,0.9176,0.8932,0.8616,0.7508,0.8708400000000001
brightness,0.9358,0.9321,0.9258,0.9166,0.8885,0.9197599999999999
fog,0.9262,0.8931,0.8327,0.7352,0.4882,0.77508
zoom_blur,0.8946,0.8864,0.867,0.8474,0.8068,0.8604399999999999
frost,0.921,0.895,0.8579,0.8581,0.812,0.8688
glass_blur,0.8067,0.8129,0.8379,0.6783,0.7244,0.7720400000000001
impulse_noise,0.9097,0.875,0.8215,0.6677,0.4797,0.7507199999999999
contrast,0.9187,0.8289,0.7181,0.499,0.2085,0.63464
jpeg_compression,0.9194,0.9073,0.902,0.8962,0.8852,0.9020199999999999
elastic_transform,0.8965,0.8955,0.8793,0.8516,0.8226,0.8690999999999999
average,0.9110799999999999,0.88826,0.8545533333333333,0.7977466666666667,0.7184066666666666,0.8340093333333334
