,1,2,3,4,5,avg
shot_noise,0.9303,0.9217,0.8685,0.8304,0.7602,0.86222
motion_blur,0.902,0.8573,0.7983,0.794,0.7247,0.81526
snow,0.913,0.8885,0.8653,0.8305,0.8283,0.8651199999999999
pixelate,0.928,0.9192,0.9188,0.8959,0.8475,0.90188
gaussian_noise,0.9259,0.895,0.8283,0.7823,0.7363,0.83356
defocus_blur,0.9289,0.9145,0.8885,0.8535,0.7411,0.8653000000000001
brightness,0.9318,0.9275,0.922,0.9122,0.879,0.9145
fog,0.9209,0.8813,0.8175,0.7051,0.4478,0.75452
zoom_blur,0.888,0.8785,0.8591,0.8394,0.8026,0.85352
frost,0.9189,0.895,0.8518,0.86,0.8066,0.86646
glass_blur,0.8072,0.8127,0.8371,0.6683,0.719,0.7688599999999999
impulse_noise,0.9003,0.8562,0.8019,0.6523,0.4911,0.7403599999999999
contrast,0.9149,0.7953,0.6491,0.4024,0.1876,0.58986
jpeg_compression,0.9204,0.9079,0.9024,0.8979,0.8884,0.9034000000000001
elastic_transform,0.8925,0.893,0.8705,0.849,0.821,0.8652
average,0.9082000000000001,0.8829066666666666,0.8452733333333333,0.78488,0.7120799999999999,0.8266680000000001
