,1,2,3,4,5,avg
shot_noise,0.9284,0.9212,0.8898,0.8674,0.8337,0.8881
motion_blur,0.9186,0.8937,0.8565,0.8502,0.8021,0.8642200000000001
snow,0.9147,0.8902,0.8715,0.832,0.8406,0.8698
pixelate,0.927,0.9147,0.9022,0.8518,0.7461,0.86836
gaussian_noise,0.9234,0.8969,0.8639,0.8402,0.8174,0.86836
defocus_blur,0.9354,0.932,0.9283,0.9202,0.887,0.92058
brightness,0.933,0.9301,0.9286,0.9244,0.914,0.92602
fog,0.9327,0.9254,0.9093,0.8763,0.7613,0.881
zoom_blur,0.9228,0.9241,0.9153,0.9102,0.8905,0.91258
frost,0.9245,0.9108,0.8949,0.8918,0.8693,0.89826
glass_blur,0.8298,0.8291,0.8431,0.7221,0.735,0.79182
impulse_noise,0.9154,0.8858,0.8558,0.7904,0.7136,0.8321999999999999
contrast,0.9321,0.9184,0.9059,0.8803,0.7232,0.8719800000000001
jpeg_compression,0.92,0.9005,0.8948,0.8844,0.8759,0.89512
elastic_transform,0.904,0.9096,0.9086,0.8776,0.8364,0.88724
average,0.9174533333333333,0.9054999999999999,0.8912333333333334,0.8612866666666665,0.8164066666666666,0.8783759999999999
