,1,2,3,4,5,avg
shot_noise,0.9398,0.9312,0.8906,0.8658,0.811,0.8876800000000001
motion_blur,0.9366,0.9223,0.9044,0.9024,0.876,0.9083400000000001
snow,0.9304,0.8948,0.8866,0.858,0.8543,0.88482
pixelate,0.9409,0.931,0.926,0.8896,0.7976,0.89702
gaussian_noise,0.9317,0.9013,0.8505,0.8123,0.7782,0.8548
defocus_blur,0.9473,0.9454,0.9388,0.9302,0.8985,0.9320400000000001
brightness,0.9481,0.9462,0.9415,0.9347,0.9178,0.9376599999999999
fog,0.9478,0.938,0.9209,0.8919,0.7755,0.89482
zoom_blur,0.9341,0.9344,0.9267,0.9193,0.9025,0.9234
frost,0.9382,0.9159,0.8893,0.8879,0.8551,0.8972800000000001
glass_blur,0.8345,0.8365,0.8521,0.7298,0.7595,0.8024799999999999
impulse_noise,0.9346,0.9132,0.8872,0.8005,0.6669,0.84048
contrast,0.9443,0.9188,0.8984,0.8378,0.4563,0.8111200000000001
jpeg_compression,0.9276,0.9096,0.9047,0.8934,0.882,0.9034599999999999
elastic_transform,0.9255,0.9283,0.9214,0.8915,0.8548,0.9042999999999999
average,0.93076,0.9177933333333333,0.9026066666666668,0.8696733333333333,0.8057333333333332,0.8853133333333334
