,1,2,3,4,5,avg
shot_noise,0.927,0.9206,0.8808,0.8626,0.8074,0.8796799999999999
motion_blur,0.9045,0.863,0.8024,0.8042,0.7422,0.8232600000000001
snow,0.9125,0.8825,0.8648,0.8245,0.8251,0.86188
pixelate,0.9266,0.919,0.9148,0.8986,0.851,0.9019999999999999
gaussian_noise,0.9242,0.8965,0.8571,0.8293,0.7926,0.8599399999999999
defocus_blur,0.9272,0.9172,0.8962,0.8625,0.7557,0.8717600000000001
brightness,0.9312,0.9285,0.9215,0.9124,0.8804,0.9148
fog,0.9214,0.8851,0.828,0.7242,0.4763,0.767
zoom_blur,0.8944,0.8876,0.8676,0.8464,0.8086,0.8609199999999999
frost,0.9186,0.8944,0.8583,0.8607,0.8185,0.8701000000000001
glass_blur,0.837,0.8445,0.8531,0.7299,0.7561,0.80412
impulse_noise,0.9136,0.8835,0.8461,0.736,0.5995,0.79574
contrast,0.9134,0.8251,0.7116,0.4903,0.1918,0.62644
jpeg_compression,0.9195,0.9087,0.9048,0.901,0.8923,0.9052599999999998
elastic_transform,0.896,0.8981,0.8796,0.8553,0.8314,0.8720800000000001
average,0.91114,0.8902866666666666,0.8591133333333333,0.8091933333333333,0.7352600000000001,0.8409986666666667
