,1,2,3,4,5,avg
shot_noise,0.8617,0.7764,0.5546,0.4658,0.3453,0.60076
motion_blur,0.9087,0.8437,0.7607,0.7606,0.6801,0.79076
snow,0.8904,0.82,0.8359,0.8146,0.7767,0.82752
pixelate,0.9287,0.8859,0.835,0.6842,0.4999,0.7667400000000001
gaussian_noise,0.7917,0.5858,0.3919,0.316,0.2674,0.47056
defocus_blur,0.9466,0.9363,0.8953,0.8188,0.5945,0.8382999999999999
brightness,0.9496,0.9454,0.9379,0.9299,0.9045,0.93346
fog,0.9453,0.9341,0.9157,0.8844,0.7464,0.8851799999999999
zoom_blur,0.8893,0.8623,0.8102,0.7576,0.6642,0.79672
frost,0.9118,0.8664,0.7901,0.7772,0.6824,0.80558
glass_blur,0.5901,0.6035,0.6333,0.489,0.5151,0.5662
impulse_noise,0.8143,0.6644,0.5492,0.3498,0.1929,0.5141199999999999
contrast,0.943,0.9083,0.8618,0.7637,0.3436,0.76408
jpeg_compression,0.8643,0.8135,0.7932,0.7679,0.7266,0.7931
elastic_transform,0.905,0.9048,0.8654,0.7964,0.7494,0.8442000000000001
average,0.8760333333333332,0.8233866666666667,0.7620133333333334,0.6917266666666666,0.5792666666666668,0.7464853333333333
