,1,2,3,4,5,avg
shot_noise,0.6893999576568604,0.5166000127792358,0.3215999901294708,0.1136000007390976,0.062199998646974564,0.34067999199032784
motion_blur,0.748199999332428,0.6335999965667725,0.46539998054504395,0.31119999289512634,0.24479998648166656,0.48063999116420747
snow,0.6305999755859375,0.40119999647140503,0.4357999861240387,0.3051999807357788,0.2386000007390976,0.4022799879312515
pixelate,0.8245999813079834,0.8190000057220459,0.76419997215271,0.6223999857902527,0.5037999749183655,0.7067999839782715
gaussian_noise,0.7121999859809875,0.5521999597549438,0.3125999867916107,0.12459999322891235,0.0421999990940094,0.34875998497009275
defocus_blur,0.6661999821662903,0.5843999981880188,0.4197999835014343,0.28360000252723694,0.2053999900817871,0.4318799912929535
brightness,0.8379999995231628,0.8155999779701233,0.7703999876976013,0.7044000029563904,0.6053999662399292,0.7467599868774414
fog,0.6423999667167664,0.5357999801635742,0.41359999775886536,0.3497999906539917,0.17299999296665192,0.4229199856519699
zoom_blur,0.6809999942779541,0.592799961566925,0.5133999586105347,0.45239999890327454,0.38819998502731323,0.5255599796772004
frost,0.7033999562263489,0.5144000053405762,0.3716000020503998,0.35199999809265137,0.2717999815940857,0.4426399886608124
glass_blur,0.7281999588012695,0.6245999932289124,0.3919999897480011,0.30699998140335083,0.22280000150203705,0.45491998493671415
impulse_noise,0.5949999690055847,0.3901999890804291,0.26499998569488525,0.0997999981045723,0.03819999843835831,0.2776399880647659
contrast,0.6863999962806702,0.5577999949455261,0.343999981880188,0.10379999876022339,0.034199997782707214,0.345239993929863
jpeg_compression,0.8131999969482422,0.7901999950408936,0.7721999883651733,0.704800009727478,0.5751999616622925,0.7311199903488159
elastic_transform,0.7877999544143677,0.6093999743461609,0.7543999552726746,0.687999963760376,0.46459999680519104,0.660839968919754
average,0.716439978281657,0.5958533227443695,0.4877333164215088,0.3681733265519142,0.27135998879869777,0.4879119865596294
