,1,2,3,4,5,avg
shot_noise,0.6575999855995178,0.4757999777793884,0.2587999999523163,0.08779999613761902,0.0405999980866909,0.30411999151110647
motion_blur,0.7561999559402466,0.6503999829292297,0.4773999750614166,0.3075999915599823,0.23639999330043793,0.48559997975826263
snow,0.6279999613761902,0.39899998903274536,0.4275999963283539,0.30480000376701355,0.2369999885559082,0.3992799878120422
pixelate,0.821399986743927,0.8077999949455261,0.7221999764442444,0.5306000113487244,0.41200000047683716,0.6587999939918519
gaussian_noise,0.6851999759674072,0.5055999755859375,0.25380000472068787,0.09179999679327011,0.026200000196695328,0.3125199906527996
defocus_blur,0.6753999590873718,0.5995999574661255,0.4357999861240387,0.29179999232292175,0.19619999825954437,0.43975997865200045
brightness,0.8435999751091003,0.8175999522209167,0.7763999700546265,0.714199960231781,0.6191999912261963,0.7541999697685242
fog,0.6721999645233154,0.579800009727478,0.46699997782707214,0.4032000005245209,0.23240000009536743,0.4709199905395508
zoom_blur,0.6872000098228455,0.6007999777793884,0.515999972820282,0.4535999894142151,0.3807999789714813,0.5276799857616424
frost,0.6837999820709229,0.48559999465942383,0.3423999845981598,0.3263999819755554,0.25939998030662537,0.4195199847221375
glass_blur,0.7181999683380127,0.600600004196167,0.34759998321533203,0.2741999924182892,0.1972000002861023,0.42755998969078063
impulse_noise,0.5113999843597412,0.3100000023841858,0.20179998874664307,0.0674000009894371,0.025599999353289604,0.22323999516665935
contrast,0.7139999866485596,0.590999960899353,0.3921999931335449,0.1428000032901764,0.06019999831914902,0.38003998845815656
jpeg_compression,0.7919999957084656,0.7627999782562256,0.7311999797821045,0.625,0.4487999975681305,0.6719599902629853
elastic_transform,0.7942000031471252,0.6139999628067017,0.7459999918937683,0.6574000120162964,0.4453999996185303,0.6513999938964844
average,0.7093599796295166,0.5866933147112529,0.4730799853801727,0.3519066621859868,0.25449332830806576,0.47510665404299895
